'1','2015-10-22 11:59:00','PROVIDENCE                    ','RI ','02904     ','HammerMill Copy Plus Copy Paper 8 1','Staples - Foxborough                    '
'1','2015-10-22 11:59:00','PROVIDENCE                    ','RI ','02904     ','SMALL BOX 16X10.5X12 MRSI','Staples - Foxborough                    '
'1','2015-10-22 11:59:00','SMITHFIELD                    ','RI ','02917     ','HammerMill Copy Plus Copy Paper 8 1','Staples - Foxborough                    '
'1','2015-10-22 11:59:00','SMITHFIELD                    ','RI ','02917     ','LARGE BOX 18X13X12 MRSI','Staples - Foxborough                    '
'1','2015-10-22 11:59:00','WORCESTER                     ','MA ','01608     ','BOX 16X12X8','Staples - Foxborough                    '
'1','2015-10-22 11:59:00','WORCESTER                     ','MA ','01608     ','Polarreg Cranberry Lime Seltzer 12','Staples - Foxborough                    '
'1','2015-10-22 12:00:00','BEARDSTOWN                    ','IL ','62618     ','HARDWARE ACCESSORIES','Masco Cabinetry KM - Saint Louis        '
'1','2015-10-22 12:00:00','BEARDSTOWN                    ','IL ','62618     ','WALL DOUBLE DOOR','Masco Cabinetry KM - Saint Louis        '
'1','2015-10-22 12:00:00','KATY                          ','TX ','77493     ','BCG - Cabinet','Masco Cabinetry Q&M - Houston           '
'1','2015-10-22 12:00:00','KATY                          ','TX ','77493     ','BCG Other Piece','Masco Cabinetry Q&M - Houston           '
'1','2015-10-22 12:00:00','SAG HARBOR                    ','NY ','11963     ','249319000001-6391207','WindowRama                              '
'1','2015-10-22 12:00:00','SAG HARBOR                    ','NY ','11963     ','249319000001-6391208','WindowRama                              '
'1','2015-10-22 12:00:00','SAG HARBOR                    ','NY ','11963     ','249319000001-6391209','WindowRama                              '
'1','2015-10-22 12:00:00','SAG HARBOR                    ','NY ','11963     ','249319000001-6391210','WindowRama                              '
'1','2015-10-22 12:00:00','SAG HARBOR                    ','NY ','11963     ','249319000002-6391098','WindowRama                              '
'1','2015-10-22 12:00:00','SAG HARBOR                    ','NY ','11963     ','249319000002-6391099','WindowRama                              '
'1','2015-10-22 12:00:00','SAG HARBOR                    ','NY ','11963     ','249319000002-6391100','WindowRama                              '
'1','2015-10-22 12:00:00','SAG HARBOR                    ','NY ','11963     ','249319000002-6391101','WindowRama                              '
'1','2015-10-22 12:00:00','SF                            ','CA ','94117     ','26879 CREAM - Eames Alum Exec Chair Pnue SPO-MD Pol Alum VZ  Cream','Design Within Reach - San Francisco     '
'1','2015-10-22 12:00:00','WOONSOCKET                    ','RI ','02895     ','LARGE Box/Env/Vendor','Staples - Foxborough                    '
'1','2015-10-22 12:01:00','E PROVIDENCE                  ','RI ','02914     ','BRIGHTON PRO C-FOLD TOWELS','Staples - Foxborough                    '
'1','2015-10-22 12:01:00','E PROVIDENCE                  ','RI ','02914     ','CYNTHIA ROWLEY COPY PAPER','Staples - Foxborough                    '
'1','2015-10-22 12:01:00','E PROVIDENCE                  ','RI ','02914     ','small Box/Env/Vendor','Staples - Foxborough                    '
'1','2015-10-22 12:01:00','EAST BRUNSWICK                ','NJ ','088163077 ','238326010004-6391007','WindowRama                              '
'1','2015-10-22 12:01:00','EAST BRUNSWICK                ','NJ ','088163077 ','238326010008-6391494','WindowRama                              '
'1','2015-10-22 12:01:00','EAST BRUNSWICK                ','NJ ','088163077 ','241118000001-6391012','WindowRama                              '
'1','2015-10-22 12:01:00','EAST BRUNSWICK                ','NJ ','088163077 ','241118000002-6391507','WindowRama                              '
'1','2015-10-22 12:01:00','EAST BRUNSWICK                ','NJ ','088163077 ','241118000003-6391998','WindowRama                              '
'1','2015-10-22 12:01:00','EAST BRUNSWICK                ','NJ ','088163077 ','241118000004-6391508','WindowRama                              '
'1','2015-10-22 12:01:00','EAST BRUNSWICK                ','NJ ','088163077 ','242697000001-6391495','WindowRama                              '
'1','2015-10-22 12:01:00','EAST BRUNSWICK                ','NJ ','088163077 ','242697000001-6391496','WindowRama                              '
'1','2015-10-22 12:01:00','EAST BRUNSWICK                ','NJ ','088163077 ','242697000002-6391497','WindowRama                              '
'1','2015-10-22 12:01:00','EAST BRUNSWICK                ','NJ ','088163077 ','242697000002-6391498','WindowRama                              '
'1','2015-10-22 12:01:00','EAST BRUNSWICK                ','NJ ','088163077 ','242697000003-6391148','WindowRama                              '
'1','2015-10-22 12:01:00','EAST BRUNSWICK                ','NJ ','088163077 ','242697000003-6391149','WindowRama                              '
'1','2015-10-22 12:01:00','EAST BRUNSWICK                ','NJ ','088163077 ','242697000003-6391150','WindowRama                              '
'1','2015-10-22 12:01:00','EAST BRUNSWICK                ','NJ ','088163077 ','242697000003-6391151','WindowRama                              '
'1','2015-10-22 12:01:00','EAST BRUNSWICK                ','NJ ','088163077 ','247309000001-6390589','WindowRama                              '
'1','2015-10-22 12:01:00','EAST BRUNSWICK                ','NJ ','088163077 ','247309000001-6390590','WindowRama                              '
'1','2015-10-22 12:01:00','EAST BRUNSWICK                ','NJ ','088163077 ','247309000001-6390591','WindowRama                              '
'1','2015-10-22 12:01:00','EAST BRUNSWICK                ','NJ ','088163077 ','248280000001-6390998','WindowRama                              '
'1','2015-10-22 12:01:00','EAST BRUNSWICK                ','NJ ','088163077 ','248280000002-6390959','WindowRama                              '
'1','2015-10-22 12:01:00','EAST BRUNSWICK                ','NJ ','088163077 ','248514000001-6391758','WindowRama                              '
'1','2015-10-22 12:01:00','EAST BRUNSWICK                ','NJ ','088163077 ','248514000002-6391490','WindowRama                              '
'1','2015-10-22 12:01:00','EAST BRUNSWICK                ','NJ ','088163077 ','248943000002-6391154','WindowRama                              '
'1','2015-10-22 12:01:00','EAST BRUNSWICK                ','NJ ','088163077 ','248943000002-6391155','WindowRama                              '
'1','2015-10-22 12:01:00','EAST BRUNSWICK                ','NJ ','088163077 ','248943000003-6390592','WindowRama                              '
'1','2015-10-22 12:01:00','EAST BRUNSWICK                ','NJ ','088163077 ','248943000003-6390593','WindowRama                              '
'1','2015-10-22 12:01:00','EAST BRUNSWICK                ','NJ ','088163077 ','249342010003-6391502','WindowRama                              '
'1','2015-10-22 12:01:00','EAST BRUNSWICK                ','NJ ','088163077 ','249342010003-6391503','WindowRama                              '
'1','2015-10-22 12:01:00','EAST BRUNSWICK                ','NJ ','088163077 ','250334000001-6391009','WindowRama                              '
'1','2015-10-22 12:01:00','EAST BRUNSWICK                ','NJ ','088163077 ','250334000001-6391010','WindowRama                              '
'1','2015-10-22 12:01:00','EAST BRUNSWICK                ','NJ ','088163077 ','250349000001-6391722','WindowRama                              '
'1','2015-10-22 12:01:00','EAST BRUNSWICK                ','NJ ','088163077 ','250428000001-6391489','WindowRama                              '
'1','2015-10-22 12:01:00','EAST BRUNSWICK                ','NJ ','088163077 ','250428000002-6390468','WindowRama                              '
'1','2015-10-22 12:01:00','EAST BRUNSWICK                ','NJ ','088163077 ','250428000003-6390469','WindowRama                              '
'1','2015-10-22 12:01:00','EAST BRUNSWICK                ','NJ ','088163077 ','251186000003-6390836','WindowRama                              '
'1','2015-10-22 12:01:00','EAST BRUNSWICK                ','NJ ','088163077 ','251186000006-6391243','WindowRama                              '
'1','2015-10-22 12:01:00','EAST BRUNSWICK                ','NJ ','088163077 ','251186000006-6391244','WindowRama                              '
'1','2015-10-22 12:01:00','EAST BRUNSWICK                ','NJ ','088163077 ','251186000006-6391245','WindowRama                              '
